date,title,tenure,location,salary,industry,education,tenure_clean,us_region,salary_usd,industry_group,education_level
2021,senior data scientist,-  2 years,"-  cambridge, u.k.",-  60k,-  tech,"-  phd physics, mphys",2.0,Non-US,60000.0,Tech,PhD
2021,senior data scientist,4+ years,"houston, tx","$155,000",mid-size tech company,master's in applied statistics,4.0,Southwest,155000.0,Tech,Master's
2021,senior data scientist,13+ years,sf bay area,base  225k,faang,ms in industrial engg,13.0,West coast,225000.0,Big Tech (FAANG),Master's
2021,data analyst,5 months,"arlington, va","$110,000",public/federal subcontractor,bachelor's science quantitative finance,0.4166666666666667,Southeast,110000.0,Government,Bachelor's
2021,data scientist consultant,11 months,dc,$104000,government consulting,ms in applied math,0.9166666666666666,Northeast,104000.0,Professional services,Master's
2021,senior data scientist,3 months,new england area,$160k/year,saas,"bs. mech engineering, ms. computer science",0.25,Non-US,160000.0,Tech,Master's
2021,data scientist ii,< 6 months,seattle,"$145,000",large corporation in tech,b.s.,0.5,West coast,145000.0,Tech,Bachelor's
2021,data scientist,2 months,"ohio, usa","$110,000",technology,ms comp. sci.,0.16666666666666666,Midwest,110000.0,Tech,Master's
2021,data scientist,2 yoe,lcol midwest town,$108k,telecom,"undergrad business, masters statistics",2.0,Midwest,108000.0,Other industry,Master's
2021,manager data science, 3yrs,"lcol area , also now full remote.",$165k,f500 utility company,"bs risk analysis, ms data science",3.0,Non-US,165000.0,Other industry,Master's
2021,data scientist,8 months,midwest,"$65,000",transportation planning,ba,0.6666666666666666,Midwest,65000.0,Professional services,Bachelor's
2021,senior data scientist,5 yoe,"bay area, ca",$160k,faang,bachelors,5.0,West coast,160000.0,Big Tech (FAANG),Bachelor's
2021,senior machine learning engineer,3mo,"sf, remote from canada","$175,000",tech startup,msc stats,0.25,West coast,175000.0,Tech,Master's
2021,principal data scientist,3.5 years,arkansas/remote,$190k,consulting/saas,phd,3.5,Midwest,190000.0,Professional services,PhD
2021,data scientist,~6 months,"hcol, us",125k base,healthcare,bachelors,0.5,Unspecified,125000.0,Healthcare,Bachelor's
2021,senior applied scientist,5 years,sf bay area,$185k,major public tech company,bs/ms/phd in chemical engineering,5.0,West coast,185000.0,Tech,PhD
2021,senior data scientist,0.5 years,"manhattan. wfh guaranteed, office optional forever at my company.","$130k base, 5%-20% bonus based on performance and company performance",crypto,"bs mathematics, bsm finance",0.5,Northeast,130000.0,Finance,Master's
2021,data science manager,6 years starting as ds,"midwest, fully remote","~130,000",market research,"ba econ, ms analytics",6.0,Midwest,130000.0,Professional services,Master's
2021,data scientist product analytics,2.5 years,chicago,$120k,tech,"ba in communication, almost done with an ms data science",2.5,Midwest,120000.0,Tech,Master's
2021,senior data scientist,4 years,minneapolis,185k,tech,masters,4.0,Midwest,185000.0,Tech,Master's
2021,director analytic strategy,<6 months,lcol city in southeast us,180k base,"f500, non tech",bs in economics,0.5,Unspecified,180000.0,Manufacturing,Bachelor's
2021,director of data science,4 years,east coast city not nyc,"$220,000",energy,masters econ,4.0,Northeast,220000.0,"Oil, gas & mining",Master's
2021,senior data scientist,6 months,"nyc, but working remotely",$125k,media analytics,msc data science,0.5,Northeast,125000.0,Professional services,Master's
2021,data scientist,"2 years at this company, 9 years industry experience",sf bay area,"$178,000",company  analytics software,"ma, international relations",2.0,West coast,178000.0,Tech,Master's
2021,data analyst,3.5 years,"richmond, va","$66,800",large bank,bba in computer information systems and i will complete an ms in data analytics engineering in fall of 2023,3.5,Southeast,66800.0,Finance,Master's
2021,senior data analyst,3 yrs,hybrid in office and remote. 3 days in office 2 at home.,"$97,000",wind turbine manufacturer,bs aerospace engineering ms technology management. self taught in all ds things,3.0,Non-US,97000.0,Manufacturing,Master's
2020,data scientist,3yrs,houston,"$140,000",oil and gas,masters in applied statistics,3.0,Unspecified,140000.0,"Oil, gas & mining",Master's
2020,senior business analyst,2 months,pacific nw,"$120,000",faang,bs in completely unrelated field,0.16666666666666666,West coast,120000.0,Big Tech (FAANG),Bachelor's
2020,senior data scientist lead,7 years,large midwestern city,"$135,000",large corporation in biotech/agrotech,phd,7.0,West coast,135000.0,Tech,PhD
2020,data scientist,2 years,us mid-sized midwest city,74000,digital advertising,ms,2.0,Midwest,74000.0,Professional services,Master's
2020,senior software engineer,<6 mo,hcol major tech hub,240k,fintech,b.s. stats tier 2 school,0.5,Non-US,240000.0,Tech,Bachelor's
2020,data scientist,6 months,"arlington, va","$93,000",government contract,ba in mathematics,0.5,Southeast,93000.0,Government,Master's
2020,data scientist,< 1 year,bay area,140k,faang/tech unicorn,master's financial eng,1.0,West coast,140000.0,Tech,Master's
2020,data scientist,1 year,d.c.,"$85,000",defense,masters of science in data science,1.0,Northeast,85000.0,Government,Master's
2020,informatics manager,1 year.,nyc/remote,160k,healthcare,phd,1.0,Northeast,160000.0,Healthcare,PhD
2020,analytics manager,1.5 years in this role,chicago,$107k,travel technology,"ba in communication, halfway through an msds",1.5,Midwest,107000.0,Transport & Logistics,Master's
2020,data science consultant,2 years,"london, uk","base  £65,000",large tech company,phd,2.0,Non-US,78065.835902606,Tech,PhD
2020,data scientist,a little over 2 years,austria,~40k€,education: bsc in comp. sci.,prior experience: 6 month internship in ds,,Unspecified,40980.0,,High School
2020,data scientist,6 months,west coast,"375,000",faang,masters,0.5,West coast,375000.0,Big Tech (FAANG),Master's
2020,machine learning manager,starting in jan 2021,gta canada,$120k,fast food lul,msc in statistics,,Non-US,120000.0,Other industry,Master's
2020,data scientist,1 year,the netherlands,~€40.0000,finance,technical msc,1.0,Non-US,,Finance,Master's
2020,data scientist,1.5 years,dallas,91k,finance,b.s. economics  2019. minor in physics,1.5,Southwest,91000.0,Finance,Bachelor's
2020,machine learning engineer,1yr,"copenhagen, denmark","480,000dkk",media intelligence,"msc software development, beng mechanical engineering",1.0,Non-US,66053.27136697606,Professional services,Master's
2020,senior data scientist,"full-time 1.5 years, half year part-time before that",boston,"$98,000",major financial services company,ms in statistical practice,,Northeast,98000.0,Finance,Master's
2020,lead data scientist,5+ years,nyc,"$185,000",media,ms stats,5.0,Northeast,185000.0,Other industry,Master's
2020,senior data scientist,3.5 years,india,16lpa,consulting mbb,bachelors in engineering,3.5,Non-US,20015.14078487875,Professional services,Bachelor's
2020,quantitative researcher,1 month,hcol west coast city,"$90,000",small startup fintech,"ms math, bs physics",0.08333333333333333,West coast,90000.0,Tech,Master's
2020,machine learning data scientist,1 year,san francisco,"$140,000",large delivery/logistics app,2-year data science masters . economics ba.,1.0,West coast,140000.0,Transport & Logistics,Master's
2020,senior data scientist,3 months into the new role,czech republic,$46k,healthcare,"bsc data science, msc quantitative finance",0.25,Non-US,46000.0,Healthcare,Master's
2020,data scientist,6 months,midwest,125k,high frequency trading,bs pure math + engineering. pure math was a waste but made me look smart,0.5,Midwest,125000.0,Finance,Master's
2020,senior data scientist,2.5 years,"san francisco bay area, california","$160,000",startup / internet,phd in theoretical physics,2.5,West coast,160000.0,Tech,PhD
2020,data scientist,pre-start,remote,"$125,000",very early-stage startup,phd,,Non-US,125000.0,Tech,PhD
2020,senior data analyst,3 years,seattle metro area,$130k,cloud saas,bs economics,3.0,West coast,130000.0,Tech,Bachelor's
2020,senior data scientist,2.5 years,chicago,"96,000","large, non-tech & non-finance company","ms computer science, bs computer science",2.5,Midwest,96000.0,Manufacturing,Master's
2020,data scientist,3 years,southeast us,"$108,500",fintech,masters in analytics,3.0,Unspecified,108500.0,Tech,Master's
2020,data scientist,9 months,seattle,125k,startup,ba in hard science,0.75,West coast,125000.0,Tech,Bachelor's
2020,senior data scientist,1 year,nyc,"$123,500",bulge bracket banks,master's in statistics and applied math,1.0,Northeast,123500.0,Finance,Master's
2020,data scientist,3.5 years,baltimore area,"$87,000",higher education,masters,3.5,Northeast,87000.0,Education,Master's
2020,analytics project manager,1 year,dallas,70k,electronic components distribution,bachelors in industrial engineering,1.0,Southwest,70000.0,Other industry,Bachelor's
2020,lead analyst analytics,1 yr,west coast,"$119,000","education: mba, ms analytics","prior experience: 3 yrs post-mba as a sr analyst, 7 yrs pre-mba non-tech engineering roles",1.0,West coast,119000.0,,Master's
2020,decision scientist,1 years,between the coasts,"105,000",saas,phd,1.0,Non-US,105000.0,Tech,PhD
2020,data science manager,10+ years,east coast,170k,consulting,"masters to get the job, currently working on a ph.d.",10.0,Northeast,170000.0,Professional services,PhD
2020,nlp engineer,<6mo,dmv,110k,health,ba in statistics,0.5,Northeast,110000.0,Healthcare,Bachelor's
2020,data scientist,1 year,hcol east coast,120k,e-commerce,phd engineering,1.0,Northeast,120000.0,Retail & e-commerce,PhD
2020,business analyst power bi developer,7 years,houston,"$90,000",financial consulting,high school,7.0,Unspecified,90000.0,Professional services,High School
2020,senior healthcare analyst,tenure : just started,lcl northeast,"110,000",company/industry : healthcare segment of f100,education : mph and ms,,Northeast,110000.0,Healthcare,Master's
2020,data scientist developer,1y,austria,37k,forecasting for external clients,msc data science with some msc ai courses sprinkled in. ba.,1.0,Unspecified,37000.0,Professional services,Master's
2020,senior data scientist,5,east coast,$140k,tech,masters,5.0,Northeast,140000.0,Tech,Master's
2020,quant trader,< 1 year,chicago,135k,financial services,"undergrad and masters in engineering, ms financial eng",1.0,Midwest,135000.0,Finance,Master's
2020,senior credit analyst,starting next month,connecticut,"$110,000",large cable/communications company,bs in business administration,,Non-US,110000.0,Other industry,Bachelor's
